Function,HashedStrings,Collisions
RSHash,1000,0
RSHash,2000,0
RSHash,3000,0
RSHash,4000,0
RSHash,5000,0
RSHash,6000,0
RSHash,7000,0
RSHash,8000,0
RSHash,9000,0
RSHash,10000,0
RSHash,11000,0
RSHash,12000,0
RSHash,13000,0
RSHash,14000,0
RSHash,15000,0
RSHash,16000,0
RSHash,17000,0
RSHash,18000,0
RSHash,19000,0
RSHash,20000,0
RSHash,21000,0
RSHash,22000,0
RSHash,23000,0
RSHash,24000,0
RSHash,25000,0
RSHash,26000,0
RSHash,27000,0
RSHash,28000,0
RSHash,29000,0
RSHash,30000,0
RSHash,31000,0
RSHash,32000,0
RSHash,33000,0
RSHash,34000,0
RSHash,35000,0
RSHash,36000,0
RSHash,37000,0
RSHash,38000,0
RSHash,39000,0
RSHash,40000,0
RSHash,41000,0
RSHash,42000,0
RSHash,43000,0
RSHash,44000,0
RSHash,45000,0
RSHash,46000,0
RSHash,47000,0
RSHash,48000,0
RSHash,49000,0
RSHash,50000,0
RSHash,51000,0
RSHash,52000,0
RSHash,53000,0
RSHash,54000,0
RSHash,55000,0
RSHash,56000,0
RSHash,57000,0
RSHash,58000,0
RSHash,59000,0
RSHash,60000,0
RSHash,61000,0
RSHash,62000,0
RSHash,63000,0
RSHash,64000,0
RSHash,65000,0
RSHash,66000,0
RSHash,67000,0
RSHash,68000,0
RSHash,69000,0
RSHash,70000,0
RSHash,71000,0
RSHash,72000,0
RSHash,73000,0
RSHash,74000,0
RSHash,75000,0
RSHash,76000,0
RSHash,77000,0
RSHash,78000,0
RSHash,79000,1
RSHash,80000,1
RSHash,81000,1
RSHash,82000,1
RSHash,83000,1
RSHash,84000,1
RSHash,85000,1
RSHash,86000,1
RSHash,87000,1
RSHash,88000,1
RSHash,89000,1
RSHash,90000,1
RSHash,91000,1
RSHash,92000,1
RSHash,93000,1
RSHash,94000,1
RSHash,95000,1
RSHash,96000,1
RSHash,97000,1
RSHash,98000,1
RSHash,99000,1
RSHash,100000,1
JSHash,1000,0
JSHash,2000,0
JSHash,3000,0
JSHash,4000,0
JSHash,5000,0
JSHash,6000,0
JSHash,7000,0
JSHash,8000,0
JSHash,9000,0
JSHash,10000,0
JSHash,11000,0
JSHash,12000,0
JSHash,13000,0
JSHash,14000,0
JSHash,15000,0
JSHash,16000,0
JSHash,17000,0
JSHash,18000,0
JSHash,19000,0
JSHash,20000,0
JSHash,21000,0
JSHash,22000,0
JSHash,23000,0
JSHash,24000,0
JSHash,25000,0
JSHash,26000,0
JSHash,27000,0
JSHash,28000,0
JSHash,29000,0
JSHash,30000,0
JSHash,31000,0
JSHash,32000,0
JSHash,33000,0
JSHash,34000,0
JSHash,35000,0
JSHash,36000,0
JSHash,37000,0
JSHash,38000,0
JSHash,39000,0
JSHash,40000,0
JSHash,41000,0
JSHash,42000,0
JSHash,43000,0
JSHash,44000,0
JSHash,45000,0
JSHash,46000,0
JSHash,47000,0
JSHash,48000,0
JSHash,49000,0
JSHash,50000,0
JSHash,51000,0
JSHash,52000,0
JSHash,53000,0
JSHash,54000,0
JSHash,55000,0
JSHash,56000,0
JSHash,57000,0
JSHash,58000,0
JSHash,59000,0
JSHash,60000,0
JSHash,61000,0
JSHash,62000,0
JSHash,63000,0
JSHash,64000,0
JSHash,65000,0
JSHash,66000,0
JSHash,67000,0
JSHash,68000,0
JSHash,69000,0
JSHash,70000,0
JSHash,71000,0
JSHash,72000,0
JSHash,73000,0
JSHash,74000,0
JSHash,75000,0
JSHash,76000,0
JSHash,77000,0
JSHash,78000,0
JSHash,79000,0
JSHash,80000,0
JSHash,81000,0
JSHash,82000,0
JSHash,83000,0
JSHash,84000,0
JSHash,85000,0
JSHash,86000,0
JSHash,87000,0
JSHash,88000,0
JSHash,89000,0
JSHash,90000,0
JSHash,91000,0
JSHash,92000,0
JSHash,93000,0
JSHash,94000,0
JSHash,95000,0
JSHash,96000,0
JSHash,97000,0
JSHash,98000,0
JSHash,99000,0
JSHash,100000,0
PJWHash,1000,0
PJWHash,2000,0
PJWHash,3000,0
PJWHash,4000,0
PJWHash,5000,0
PJWHash,6000,0
